id,username,day,time,course,venue,academicyear,division,is_rescheduled
493,sunilsomani,Thursday,11:45 - 12:45,Digital Communication(DC),KS-407,TY,ECE-SECB,f
494,savitrijadhav,Thursday,01:30 - 03:30,Embedded System & RTOS (ES&RTOS)-G2,VK-411B,TY,ECE-SECB,f
495,manishakumawat,Thursday,01:30 - 03:30,Artificial Neural Network (ANN)-G2,VK-411C,TY,ECE-SECB,f
496,vibhapatel,Friday,09:30 - 10:30,Electromagnetics and Radiating Systems (ERS),KS-406,TY,ECE-SECB,f
497,manishakumawat,Friday,09:30 - 10:30,Artificial Neural Network (ANN),KS-407,TY,ECE-SECB,f
498,savitrijadhav,Friday,09:30 - 10:30,Embedded System & RTOS (ES&RTOS),JN-106,TY,ECE-SECB,f
499,rasikabeohar,Friday,10:45 - 11:45,Managing Conflicts Peacefully (MCP),KS-406,TY,ECE-SECB,f
500,rasikabeohar,Friday,11:45 - 12:45,Managing Conflicts Peacefully (MCP),KS-406,TY,ECE-SECB,f
501,savitrijadhav,Friday,13:30 - 14:30,Embedded System & RTOS (ES&RTOS)-G3,VK-411B,TY,ECE-SECB,f
502,paruljadhav,Wednesday,15:30 - 16:30,BiologyPro,JN-809,TY,BIOAIML-SECA,f
503,paruljadhav,Friday,14:30 - 15:30,BiologyPro,JN-307,TY,BIOAIML-SECA,f
